Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tag
SRR15541186,OTHER,92,1644219860,PRJNA756573,SAMN20892376,666038887,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX11839315,GSM5530898,NextSeq 550,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-28T00:00:00Z,2021-08-20T20:49:00Z,1,GSM5530898,peripheral blood mononuclear cells,SRP333501,antibody-derived tags
SRR15541177,OTHER,92,1630028676,PRJNA756573,SAMN20892377,659011400,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX11839316,GSM5530899,NextSeq 550,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-28T00:00:00Z,2021-08-20T19:50:00Z,1,GSM5530899,peripheral blood mononuclear cells,SRP333501,antibody-derived tags
SRR15541178,OTHER,92,1694981412,PRJNA756573,SAMN20892378,689444939,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX11839317,GSM5530900,NextSeq 550,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-28T00:00:00Z,2021-08-20T20:55:00Z,1,GSM5530900,peripheral blood mononuclear cells,SRP333501,antibody-derived tags
SRR15541179,OTHER,92,1672302124,PRJNA756573,SAMN20892379,680733099,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11839318,GSM5530901,NextSeq 550,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-28T00:00:00Z,2021-08-20T20:58:00Z,1,GSM5530901,peripheral blood mononuclear cells,SRP333501,antibody-derived tags
SRR15541180,OTHER,98,34211275994,PRJNA756573,SAMN20892380,11398325452,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX11839319,GSM5530902,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-28T00:00:00Z,2021-08-23T04:09:00Z,1,GSM5530902,peripheral blood mononuclear cells,SRP333501,cDNA (gene expression)
SRR15541181,OTHER,98,35289466016,PRJNA756573,SAMN20892381,11696301668,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX11839320,GSM5530903,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-28T00:00:00Z,2021-08-23T09:13:00Z,1,GSM5530903,peripheral blood mononuclear cells,SRP333501,cDNA (gene expression)
SRR15541182,OTHER,92,375478128,PRJNA756573,SAMN20892372,155884345,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX11839311,GSM5530894,NextSeq 550,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-28T00:00:00Z,2021-08-20T19:14:00Z,1,GSM5530894,peripheral blood mononuclear cells,SRP333501,hashtag-oligos
SRR15541183,OTHER,92,371098468,PRJNA756573,SAMN20892373,154206033,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX11839312,GSM5530895,NextSeq 550,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-28T00:00:00Z,2021-08-20T19:12:00Z,1,GSM5530895,peripheral blood mononuclear cells,SRP333501,hashtag-oligos
SRR15541184,OTHER,92,386462560,PRJNA756573,SAMN20892374,160766722,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX11839313,GSM5530896,NextSeq 550,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-28T00:00:00Z,2021-08-20T19:14:00Z,1,GSM5530896,peripheral blood mononuclear cells,SRP333501,hashtag-oligos
SRR15541185,OTHER,92,378939352,PRJNA756573,SAMN20892375,158002967,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11839314,GSM5530897,NextSeq 550,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-08-28T00:00:00Z,2021-08-20T19:11:00Z,1,GSM5530897,peripheral blood mononuclear cells,SRP333501,hashtag-oligos
