Activin A	BDNF	BMP2	BMP4	BMP6	CD40L	CXCL12	EGF	FGF2	GCSF	GDF11	GDNF	GMCSF	HGF	HMGB1	IFN1	IFNG	IFNL	IGF1	IL10	IL12	IL13	IL15	IL17A	IL1A	IL1B	IL2	IL21	IL22	IL27	IL3	IL36	IL4	IL6	INS	LIF	LTA	MCSF	NO	NRG1	OSM	PGE2	TGFA	TGFB1	TGFB2	TGFB3	TNFA	TRAIL	TWEAK	VEGFA	WNT3A
A2M	0.0509644557298702	-0.3989505151112073	0.0587154999999999	0.0139099474114688	0.08296851821871425	-0.029766586	0.0561875841890726	-0.01435529297707	0.07159696986051214	-0.0406716570138212	0.0165180959149324	0.07395065825	0.002052644018955641	0.03881551148581735	0.0288019730698609	-0.0004364590593501	0.06096531100631525	0.007177646488535	0.0321036026561303	-0.11513580887386876	-0.0569534056893896	0.0	-0.42980307330215944	0.00932898205463885	-0.02375	-0.0251120843521236	-0.0414799999999999	0.0186434339230652	0.0045555923310427	0.0071069296098504	0.0508834972125447	0.0	0.0649826631497723	-0.012697482506575299	0.05977130581763905	0.1885987847265692	-0.12626343145113156	2.334969632864228	-0.0408049003027635	-0.0740628883689318	0.24991066054030056	-0.4113708149977029	0.03603208988921845	-0.05514538747072455	0.026029038158196	-0.007177646488535	-0.0080292730278674	0.0673805451116245	-0.0507298710564834	0.1280926018593318	-0.0112203268589168
A4GALT	-0.2084029978381592	0.0107398637052257	-0.0132268584678199	-0.0365317310948617	0.012740790541700001	0.0460964145894537	0.120332103	0.0480992084886491	-0.0414681704910361	0.0763023632927293	0.1075145164614808	-0.05027786674999965	-0.0160581920137543	-0.04149842695750755	0.0006320000000012	-0.01064432621162675	-0.0323610631046581	0.0397698038869407	0.0859497836277642	-0.030413479739542053	-0.0092116217314615	-0.01955191126478715	0.0	-0.08833854097260735	0.00111	0.25141564048861254	0.0	-0.02504658541864615	-0.0147970019280805	-0.0570966725617605	0.0802573679769995	0.0391705972806777	0.06392840482894	0.0008214732407563	0.05111467226965295	0.172277014442499	0.5679445170294432	0.13997987717436705	0.0550986394123844	0.0364821886541955	0.1377930801900562	0.2008700000000001	-0.05810326150840095	-0.0216559345897602	-0.3652300993062197	0.2874505347500007	0.11860404949999989	-0.0166758292377959	0.0196893398245272	-0.0809944656369943	0.0562306186187932
AAAS	-0.0260280668756589	-0.043999999999999956	-0.0030478327092104	-0.03825	0.08452730170522504	-0.0207361064999993	-0.062636364	-0.09165752497602005	-0.11156049826204789	0.0389780063327349	-0.0336879664928426	-0.10969184125000005	-0.12244920242070025	-0.15122097583904234	-0.0340020000000009	-0.0520425772531201	-0.058269905250000406	-0.053407353249999845	-0.0106409999999996	-0.0017804467500002	-0.045938036971405	-0.06163297207738509	0.0066777020436461	0.021350259388535048	-0.00961144599999955	-0.0967063005955992	0.0604100868292905	-0.0350409174597801	0.007493124930210152	-0.0489018808533101	-0.2264323272872526	-0.2440561671585253	0.10738020775220344	-0.10764942454096754	-0.15023869040970234	0.0003539999999997	0.11105269194578206	0.1581827662626898	-0.0414349624969396	-0.115573449252375	-0.12020658734059034	0.012105	-0.05433055717673385	-0.11567580998934529	0.0283186750000012	-0.0527716265331903	-0.07599188222326345	-0.0450556080213999	0.0261711809468119	-0.0637826965000005	-0.007937383057225099
AACS	-0.1071103224555236	-0.049784786766289946	0.2565469856719806	-0.0332565426852795	-0.2137621072814433	0.0672115510000015	-0.1172398272015279	-0.060960589369721305	-0.1975290751049181	-0.0665117458109394	0.1461980267260108	-0.0893684669999994	-0.048308422928294445	-0.039138090631154	0.0852180000000011	-0.025064405978636198	-0.0681502935420073	-0.07129056180383189	0.0115097344234922	-0.01925823021223705	0.2131064738493782	0.00604742274845305	-0.11640624613906644	0.0555738370209351	-0.032780000000000004	-0.1004601817792123	0.127175	-0.04802446127726215	-0.0153970576485954	0.0118469948549986	-0.0787734844890477	-0.2607093528875497	-0.04371576999999935	0.0083663046568367	0.06252140460020955	0.0354654114999988	0.03399604962187605	0.1001608965865701	-0.3559707159151326	0.2522020053571943	0.09538069426998194	0.0253110885291878	0.0042409975799281505	0.0477304373690108	0.0907380150499004	0.046946710291015895	-0.0545255149789838	-0.0994036218212657	-0.0392753668360992	-0.0132491237276841	0.0258331737980753
AAK1	-0.0220774008772366	0.0669806315348857	-0.0031436073367832	0.0616198596137689	0.007308338345430451	-0.0153436697484998	-0.0065892289999998	0.0246404513856093	0.18827046726202984	0.0413403781974501	0.206866564288255	-0.02124039149999965	0.0375084658290869	0.028049464221890447	-0.0060335	-0.0416026471337593	-0.0057071482499999	-0.047044063396151	0.0246404513856093	-0.02085905700023	-0.0202653058229707	0.0046652201310148	-0.1980277127935479	-0.009440610139666149	0.00612967399999975	-0.0471000575000006	-0.0753896432159368	-0.0402907869674139	-0.0671953317336093	-0.050843644841894	0.14117492597427714	-0.2191685204621614	0.0418893585071691	0.0014294353342205498	0.1001399581803923	0.0042635566464612	0.23801127759453075	0.0266453764772007	0.0807790659386453	0.004885111119395	-0.0477014070185799	-0.1004867435000003	-0.08323684703335349	0.04795980019109965	-0.1595189999999995	-0.0338847685000001	-0.027476764211053148	0.0219158297731798	-0.02542754857678	0.0353092374459844	-0.04565817625126005
AAMDC	0.1332304813198137	-0.08045898107240015	0.2258736760880402	0.1304869969792723	0.044734875910012094	-0.061892439000001	0.0073098279999994	-0.1041677981599442	0.01120552656826175	0.0300784521949495	0.0107295652731558	-0.11898864250000016	-0.3003638586397517	-0.0442037430358891	0.1113120000000016	0.04550815932800885	-0.0067767934218018	-0.02706751499999965	0.0586140864851709	0.0217951807082532	-0.0360157972701298	-0.041918347015711996	-0.3898277480365107	-0.049911242749999446	-0.0042593852527825	-0.1298499975571703	-0.010697808096607503	-0.0169509223220776	0.0914230277635952	0.03537386337055	-0.0601493749986189	-0.1052431600273366	-0.005728416125000749	-0.0088773304126252	-0.0661834227303641	-0.0955150482941995	0.10980541279836036	0.3454320317929766	0.17964037542413	-0.2901342090709265	0.0041583174380850005	0.0800532515660348	-0.027886909170069897	-0.021183954821053	-0.1966541914866297	0.05506046324999975	-0.0224540081122626	0.0247581985294393	-0.088467058957141	-0.0656367380486682	0.0012579692834715503
AAMP	-0.0472734582570346	-0.0203573241114831	0.0133829480279406	-0.0951815923962993	-0.113680347480229	-0.0405682484999996	-0.0639164520854542	0.01350450714451985	0.15761992764056604	-0.0204141146278988	-0.0765331344297148	-0.07578953615645731	-0.06207451987339625	0.03719875499999975	0.0050167006186183	-0.0529642839999997	0.0851420974760097	-0.075824106999998	0.0377375545051181	-0.0120920919482765	0.1308840990390729	-0.04113427804644315	0.01314159380311205	0.01166962401858445	-0.010175	-0.0215165379046791	0.0474811982580885	-0.005167455289382349	0.0203069833203581	0.056197145475771	0.1285245458146446	-0.231901438469726	0.0572826007463902	0.03091037602686645	0.01035709066573525	-0.0331114999999986	0.43634510037895385	-0.11104028875	-0.0942047263742917	-0.0946826980258919	0.0017255439728667	-0.0134100000000003	-0.013971901639207848	-0.10247438024430114	-0.1112142532006803	-0.06654839475000025	-0.00393033945655215	-0.0876200175590282	0.0799002119259615	-0.0078340000000007	0.0131232840000002
AASDHPPT	0.022789620779867	-0.0074999999999999	0.0624799999999989	-0.0915250587997129	-0.19185925184332747	-0.0740233287499982	-0.0670220999999999	0.00342104478675935	-0.0033642661506259	0.00645837383097	-0.0366665006680424	0.02999607975000005	0.062332200902083204	-0.06112824999978445	-0.1653803737500023	-0.0552336230492036	-0.06580155325403456	-0.11073351087500069	-0.1143966349077896	-0.1069258772500003	0.0154889927802948	-0.03011638962894455	-0.03351454400193095	-0.0077600427417339	-0.043653510836121755	-0.14564517518	-0.10295	-0.02736377395014475	0.0305991330581831	0.0062648158598399	-0.1747164207946125	-0.1858877117670867	0.00044767714008474985	-0.0070404534872343496	-0.1295742915120996	-0.0128904999999992	-0.1633119581376809	-0.0121377066532382	-0.2413454087661382	0.0823370886964509	0.006432141249999902	0.1860400000000002	-0.12275861556031085	-0.0890861889754537	0.0786065000000011	-0.15559478168675064	-0.08128149999999995	-0.1428258158198723	-0.0153068516454997	-0.0260704999999994	0.01123956185916385
AATF	0.0405001837996099	0.0319945484421277	-0.0115357501863702	-0.1027355127413138	-0.06336081162500115	-0.0321604190000002	0.0797118526886779	0.11984699207305516	-0.02978017382280775	-0.0310236592014439	-0.0881352915821267	-0.07274205250000015	-0.0432124931448694	0.06778950072103755	0.0849334999999982	-0.0407389135206264	0.07278452047165995	-0.02574231075000005	0.1480989918091486	0.053046381362082895	0.0954681296897108	0.0017280068542180503	0.30584809468765384	0.042845314289749054	-0.023232499999999948	-0.0414277924718806	0.08843572390521	0.0379372974246559	0.0925348961961614	0.0448633568588903	0.2787141847299548	-0.1388774164264248	0.029685329620216153	0.0495685591381946	0.20574794959593062	0.0244488599999996	0.1528527010557987	-0.3994649999999993	-0.0862839718623487	0.0966956004050603	0.1153273279427251	-0.1368166896303742	0.0897100307646332	-0.0284658179905419	-0.0969507599999985	-0.06315173449999985	-0.0090811877101657	0.0580045448071224	0.0700473019472669	-0.0431934439545456	-0.07320368237500034
ABAT	-0.0253136492114549	-0.2658829161405469	0.3035393464663496	-0.0404157221770891	-0.05755635522625001	0.0495899765	-0.0003024769373931	-0.04059838642096115	-0.14773896487978797	-0.11596350310423	0.094493168427773	-0.28475675647832704	-0.331027565920724	-0.15463928326509574	-0.0003274999999991	-0.0049158565000011	-0.0871492103482305	-0.01995540725000115	0.0084226000000002	-0.11172755149671221	0.0400585355168807	0.076866127822623	-0.3458754753414008	-0.033525310271084796	0.003045875	0.0764770711949905	-0.021436994782495	-0.0674425460096094	-0.0934645899999999	-0.2126702606312402	-0.0814593878497609	-0.0218043703183479	0.21225205259685603	-0.10365333184045665	0.06449559419701059	0.0128663915000002	-0.17873155825433745	-0.0703893278913979	0.0532189769556104	-0.2163603078882596	-0.1372093796717104	-0.0112319999999996	-0.039283239311174	0.0860040485569535	0.1234819050936497	0.008601694304925	0.0099844984999997	-0.0452785218593052	0.0686172123399098	-0.0194405525133589	-0.01208229378643315
